num_healthy_workers,num_in_flight_async_sample_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_env_steps_sampled_lifetime,num_agent_steps_sampled_lifetime,num_steps_trained_this_iter,agent_timesteps_total,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,env_runners/episode_reward_max,env_runners/episode_reward_min,env_runners/episode_reward_mean,env_runners/episode_len_mean,env_runners/episodes_timesteps_total,env_runners/num_faulty_episodes,env_runners/num_episodes,env_runners/episode_return_max,env_runners/episode_return_min,env_runners/episode_return_mean,env_runners/episodes_this_iter,timers/training_iteration_time_ms,timers/restore_workers_time_ms,timers/training_step_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,env_runners/hist_stats/episode_reward,env_runners/hist_stats/episode_lengths,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
4,0,0,12000,12000,12000,12000,12000,12000,82.2606338674638,82.2606338674638,12000,12000,12000,12000,12000,False,1,befd4_00000,2025-01-22_18-59-49,1737601189,145.88079714775085,145.88079714775085,24912,DESKTOP-VFPH8OE,127.0.0.1,145.88079714775085,1,12000,12000,12000,12000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,145877.796,0.0,145877.796,114688.326,10.996,1091272.018,31169.471,384.992,8.004,12000,12000,12000,12000,3.3747368421052633,34.83894736842105,0.08794736842105264,0.07152857730263161,[],[],605.0,604.0,0.0,0.00010000000000000002,29.504989464683312,0.08516538780601657,29.60634306346808,0.004280449438923346,0.0,18.65190305544188,0.01
4,0,0,24000,24000,24000,24000,12000,12000,69.0611203998989,69.0611203998989,24000,24000,24000,12000,24000,False,2,befd4_00000,2025-01-22_19-02-43,1737601363,173.7621238231659,319.64292097091675,24912,DESKTOP-VFPH8OE,127.0.0.1,319.64292097091675,2,24000,24000,24000,24000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,159818.462,0.0,159818.462,127960.519,11.496,1043878.547,31836.945,376.921,9.003,24000,24000,24000,24000,5.133035714285714,36.317410714285714,0.09450892857142858,0.08482535226004465,[],[],1814.0,604.0,0.0,0.00010000000000000002,29.637439241874702,0.0026166243347700616,30.0,0.00017666580067674813,0.0,36.51774069925692,0.01
4,0,0,36000,36000,36000,36000,12000,12000,61.72328773905405,61.72328773905405,36000,36000,36000,12000,36000,False,3,befd4_00000,2025-01-22_19-05-58,1737601558,194.41808605194092,514.0610070228577,24912,DESKTOP-VFPH8OE,127.0.0.1,514.0610070228577,3,36000,36000,36000,36000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,171351.003,0.0,171351.003,139761.194,11.665,1028730.082,31568.809,380.122,8.336,36000,36000,36000,36000,8.97609561752988,37.52430278884462,0.08466135458167331,0.09712906187749004,[],[],3023.0,604.0,0.0,0.00010000000000000002,29.65708425283629,0.008794902950968991,30.0,3.552072002830537e-05,0.0,35.17106340659168,0.01
4,0,0,48000,48000,48000,48000,12000,12000,56.032783517800716,56.032783517800716,48000,48000,48000,12000,48000,False,4,befd4_00000,2025-01-22_19-09-32,1737601772,214.1653425693512,728.2263495922089,24912,DESKTOP-VFPH8OE,127.0.0.1,728.2263495922089,4,48000,48000,48000,48000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,182053.588,0.0,182053.337,150298.81,11.498,1043672.912,31733.778,378.146,8.253,48000,48000,48000,48000,9.47797833935018,37.69963898916967,0.08194945848375453,0.09442090196299638,[],[],4232.0,604.0,0.0,0.00010000000000000002,29.658808918803857,0.006765056315214798,30.0,4.374502708933588e-05,0.0,34.7956179957236,0.01
4,0,0,60000,60000,60000,60000,12000,12000,53.50951916147161,53.50951916147161,60000,60000,60000,12000,60000,False,5,befd4_00000,2025-01-22_19-13-16,1737601996,224.26216340065002,952.4885129928589,24912,DESKTOP-VFPH8OE,127.0.0.1,952.4885129928589,5,60000,60000,60000,60000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,190494.703,0.0,190494.503,158501.412,11.598,1034617.288,31972.388,375.324,7.905,60000,60000,60000,60000,9.036678200692043,38.27785467128028,0.06598615916955017,0.09877203179065744,[],[],5441.0,604.0,0.0,0.00010000000000000002,29.660095475151877,0.006925790312617548,30.0,3.19360602089351e-06,0.0,34.68302954712419,0.01
4,0,0,72000,72000,72000,72000,12000,12000,52.450870288127106,52.450870288127106,72000,72000,72000,12000,72000,False,6,befd4_00000,2025-01-22_19-17-05,1737602225,228.78852534294128,1181.2770383358002,24912,DESKTOP-VFPH8OE,127.0.0.1,1181.2770383358002,6,72000,72000,72000,72000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,196876.507,0.0,196876.34,164957.107,11.999,1000082.42,31898.315,376.195,7.921,72000,72000,72000,72000,8.703728813559323,38.37220338983051,0.066,0.09732421875,[],[],6650.0,604.0,0.0,0.00010000000000000002,29.660116118375086,0.007875084926314942,30.0,8.759417742909826e-06,0.0,34.77589685962258,0.01
4,0,0,84000,84000,84000,84000,12000,12000,51.50473809604814,51.50473809604814,84000,84000,84000,12000,84000,False,7,befd4_00000,2025-01-22_19-20-58,1737602458,232.99127388000488,1414.268312215805,24912,DESKTOP-VFPH8OE,127.0.0.1,1414.268312215805,7,84000,84000,84000,84000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,202035.331,0.0,202035.188,169950.807,11.999,1000103.711,32063.594,374.256,7.789,84000,84000,84000,84000,11.064333333333332,38.44199999999999,0.05446666666666668,0.10145117187499998,[],[],7859.0,604.0,0.0,0.00010000000000000002,29.65892099170669,0.006721125119130803,30.0,1.0351832983807358e-05,0.0,34.78001465335969,0.01
4,0,0,96000,96000,96000,96000,12000,12000,51.48712657395266,51.48712657395266,96000,96000,96000,12000,96000,False,8,befd4_00000,2025-01-22_19-24-51,1737602691,233.07096600532532,1647.3392782211304,24912,DESKTOP-VFPH8OE,127.0.0.1,1647.3392782211304,8,96000,96000,96000,96000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,205914.411,0.0,205914.285,173695.84,11.999,1000087.388,32197.632,372.698,7.816,96000,96000,96000,96000,11.974418604651161,38.509302325581395,0.055847176079734225,0.10146484374999998,[],[],9068.0,604.0,0.0,0.00010000000000000002,29.658415560095246,0.0065769560333122585,30.0,6.6604862733751014e-06,0.0,34.816138492328655,0.01
4,0,0,108000,108000,108000,108000,12000,12000,51.00156616901688,51.00156616901688,108000,108000,108000,12000,108000,False,9,befd4_00000,2025-01-22_19-28-46,1737602926,235.2898952960968,1882.6291735172272,24912,DESKTOP-VFPH8OE,127.0.0.1,1882.6291735172272,9,108000,108000,108000,108000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,209178.02,0.0,209177.908,176826.815,11.889,1009313.247,32330.48,371.167,7.837,108000,108000,108000,108000,11.069636963696372,38.355445544554456,0.05485148514851485,0.10146484374999999,[],[],10277.0,604.0,0.0,0.00010000000000000002,29.656266132793316,0.005506559657942075,30.0,1.3395170222835367e-05,0.0,34.924041205343876,0.01
4,0,0,120000,120000,120000,120000,12000,12000,50.864367818043426,50.864367818043426,120000,120000,120000,12000,120000,False,10,befd4_00000,2025-01-22_19-32-42,1737603162,235.92453837394714,2118.5537118911743,24912,DESKTOP-VFPH8OE,127.0.0.1,2118.5537118911743,10,120000,120000,120000,120000,nan,nan,nan,nan,0,0,0,nan,nan,nan,0,211852.372,0.0,211852.271,179335.182,11.9,1008405.737,32496.437,369.271,7.953,120000,120000,120000,120000,10.799342105263158,38.39769736842105,0.053980263157894746,0.10146484374999999,[],[],11486.0,604.0,0.0,0.00010000000000000002,29.65572663394748,0.005531933599261827,30.0,1.5582054286480345e-05,0.0,34.980530144854754,0.01
